Requirement ID,Source Doc,Source Section,Module,Requirement Statement,User Role(s),Priority,Complexity,Dependency/Related IDs,Acceptance Criteria Needed,Status,MVP Scope,Test Required,Owner Agent,Notes
AI-004,15,AI cleanup,AI Assistance,"AI should support guest name cleanup, duplicate detection, phone formatting, import assistance, tags, seating suggestions.",All,Should-have,High,GM-008,Yes,Not started,Post-MVP,Yes,AI Agent,
AI-005,15,AI message drafting,AI Assistance,AI can draft WhatsApp messages and translations but approved templates control sending.,Diginoces admin,Could-have,Medium,MSG-002,Yes,Not started,Post-MVP,Yes,AI Agent,
AI-006,15,AI audit,AI Assistance,AI-accepted data changes must be logged with human user as actor.,All,Should-have,Medium,REP-006,Yes,Not started,Post-MVP,Yes,Backend Agent,
TECH-001,16,Responsive web app,Technical Architecture,"Version 1 must be a responsive web app optimized for phones, tablets, laptops.",All,Must-have,High,,Yes,Not started,MVP,Yes,Frontend Agent,
TECH-002,16,Recommended stack,Technical Architecture,Recommended stack: React/Next.js + TypeScript frontend PostgreSQL database modular backend.,Developers,Should-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
TECH-003,16,PostgreSQL,Technical Architecture,A relational PostgreSQL database is recommended for structured project/event/guest data.,Developers,Must-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
TECH-004,16,Backend permissions,Technical Architecture,"Backend must enforce role-based permissions, not only frontend restrictions.",Developers,Must-have,High,ROLE-001,Yes,Not started,MVP,Yes,Security Agent,
TECH-005,16,Background jobs,Technical Architecture,Heavy/scheduled tasks must use background jobs/queues.,Developers,Must-have,High,,Yes,Not started,MVP,Yes,Architecture Agent,
TECH-006,16,PDF worker,Technical Architecture,PDF generation should run in background worker or dedicated service.,Developers,Must-have,High,INV-011,Yes,Not started,MVP,Yes,PDF/QR Agent,
TECH-007,16,Offline check-in PWA,Technical Architecture,Offline check-in should use PWA + IndexedDB/preload/sync design.,Developers,Must-have,High,CHK-011,Yes,Not started,MVP,Yes,Check-in Agent,
TECH-008,16,Google Calendar,Integrations,App should integrate with Google Calendar while internal scheduling remains source of truth.,"Staff, Partners, Couple",Should-have,Medium,,Yes,Not started,Post-MVP,Yes,Architecture Agent,
TECH-009,16,Canva roadmap,Integrations,Version 1 uses Canva CSV export; direct Canva integration can be explored later.,Diginoces staff,Should-have,Medium,PV-005,Yes,Not started,Post-MVP,Yes,Architecture Agent,
TECH-010,16,Token security,Technical Architecture,"Public guest tokens and check-in tokens must be secure, separate, and revocable.","Guest, Staff",Must-have,High,RSVP-001;CHK-003,Yes,Not started,MVP,Yes,Security Agent,
ROAD-001,17,Phased roadmap,Roadmap,Project must be built progressively by phases rather than all at once.,"Diginoces admin, Agents",Must-have,Medium,,Yes,Not started,MVP,Yes,Orchestrator Agent,
ROAD-002,17,MVP scope,Roadmap,MVP must include core end-to-end wedding operation features before advanced AI/integrations.,"Diginoces admin, Agents",Must-have,High,,Yes,Not started,MVP,Yes,Orchestrator Agent,
ROAD-003,17,Delayed features,Roadmap,"Native mobile app, direct Canva integration, full WhatsApp API automation, commissions, multi-currency, white-label SaaS are post-MVP.",Diginoces admin,Must-have,Medium,,Yes,Not started,Post-MVP,No,Orchestrator Agent,
